Date	1931	1932	1933	1934	1935	1936	1937	1938	1939	1940	1941	1942	1943	1944	1945
2016-01-01	"12,500"	"12,000"	"12,000"	"12,000"	"12,000"	"13,000"	"12,382"	"12,000"	"12,469"	"12,000"	"12,000"	"13,495"	"12,000"	"12,000"	"16,156"
2016-01-02	"12,500"	"12,000"	"12,000"	"12,000"	"12,000"	"13,000"	"13,382"	"12,000"	"12,469"	"12,485"	"12,000"	"12,995"	"12,000"	"12,000"	"16,156"
2016-01-03	"13,000"	"12,000"	"12,000"	"12,000"	"12,000"	"13,500"	"13,882"	"12,000"	"12,000"	"12,985"	"12,000"	"13,495"	"12,000"	"12,000"	"16,156"
2016-01-04	"13,000"	"12,000"	"12,000"	"12,000"	"12,000"	"14,000"	"14,382"	"12,000"	"12,000"	"13,485"	"12,000"	"13,495"	"12,000"	"12,000"	"16,156"
2016-01-05	"13,000"	"12,000"	"12,000"	"12,000"	"12,500"	"14,000"	"14,382"	"12,000"	"12,000"	"12,985"	"12,491"	"13,995"	"12,000"	"12,000"	"16,156"
2016-01-06	"12,500"	"12,000"	"12,000"	"12,000"	"13,000"	"14,500"	"14,382"	"12,000"	"12,000"	"12,985"	"12,000"	"13,995"	"12,000"	"12,000"	"16,156"
2016-01-07	"12,500"	"13,000"	"12,000"	"12,000"	"13,500"	"14,500"	"14,882"	"12,000"	"12,000"	"12,485"	"12,000"	"14,495"	"12,000"	"12,000"	"16,156"
2016-01-08	"12,500"	"13,500"	"12,000"	"12,000"	"13,500"	"14,500"	"14,882"	"12,000"	"12,000"	"12,485"	"12,000"	"14,495"	"12,000"	"13,122"	"16,156"
2016-01-09	"12,500"	"13,500"	"12,000"	"12,000"	"13,500"	"14,500"	"14,882"	"12,000"	"12,000"	"12,000"	"12,000"	"14,495"	"12,000"	"14,622"	"16,156"
2016-01-10	"13,000"	"13,500"	"12,000"	"12,000"	"13,500"	"14,500"	"13,882"	"12,458"	"12,000"	"12,000"	"12,000"	"13,995"	"12,000"	"14,622"	"16,156"
2016-01-11	"13,000"	"13,000"	"12,000"	"12,000"	"13,500"	"14,500"	"12,882"	"12,458"	"12,000"	"12,000"	"12,000"	"13,995"	"12,000"	"13,622"	"16,156"
2016-01-12	"13,500"	"13,000"	"12,000"	"12,000"	"13,000"	"14,500"	"12,882"	"12,000"	"12,000"	"12,000"	"12,000"	"13,495"	"12,000"	"12,122"	"16,156"
2016-01-13	"13,500"	"13,000"	"12,000"	"12,000"	"13,000"	"14,500"	"13,382"	"12,000"	"12,000"	"12,000"	"12,000"	"12,995"	"12,000"	"12,000"	"16,156"
