Date	1931	1932	1933	1934	1935	1936
2016-01-01	"12,500"	"12,000"	"12,000"	"12,000"	"12,000"	"13,000"
2016-01-02	"12,500"	"12,000"	"12,000"	"12,000"	"12,000"	"13,000"
2016-01-03	"13,000"	"12,000"	"12,000"	"12,000"	"12,000"	"13,500"
2016-01-04	"13,000"	"12,000"	"12,000"	"12,000"	"12,000"	"14,000"
2016-01-05	"13,000"	"12,000"	"12,000"	"12,000"	"12,500"	"14,000"
2016-01-06	"12,500"	"12,000"	"12,000"	"12,000"	"13,000"	"14,500"
2016-01-07	"12,500"	"13,000"	"12,000"	"12,000"	"13,500"	"14,500"
2016-01-08	"12,500"	"13,500"	"12,000"	"12,000"	"13,500"	"14,500"
2016-01-09	"12,500"	"13,500"	"12,000"	"12,000"	"13,500"	"14,500"
2016-01-10	"13,000"	"13,500"	"12,000"	"12,000"	"13,500"	"14,500"
2016-01-11	"13,000"	"13,000"	"12,000"	"12,000"	"13,500"	"14,500"
2016-01-12	"13,500"	"13,000"	"12,000"	"12,000"	"13,000"	"14,500"
2016-01-13	"13,500"	"13,000"	"12,000"	"12,000"	"13,000"	"14,500"
2016-01-14	"13,500"	"12,500"	"12,000"	"12,000"	"12,500"	"14,000"
2016-01-15	"13,500"	"12,500"	"12,000"	"12,000"	"12,500"	"13,500"
2016-01-16	"13,500"	"12,000"	"12,000"	"12,000"	"12,500"	"13,500"
2016-01-17	"13,000"	"12,000"	"12,000"	"12,000"	"12,000"	"13,000"
2016-01-18	"12,500"	"12,000"	"12,500"	"12,000"	"12,000"	"12,500"
2016-01-19	"12,500"	"12,000"	"13,000"	"12,000"	"12,000"	"12,500"
2016-01-20	"12,500"	"12,000"	"13,500"	"12,000"	"12,000"	"12,000"
2016-01-21	"12,500"	"12,000"	"13,500"	"12,000"	"12,000"	"12,000"
2016-01-22	"12,000"	"12,000"	"13,000"	"12,000"	"12,000"	"12,000"
2016-01-23	"12,000"	"12,000"	"12,500"	"12,000"	"12,000"	"12,000"
2016-01-24	"12,000"	"12,000"	"12,000"	"12,000"	"12,000"	"12,000"
2016-01-25	"12,500"	"12,000"	"12,000"	"12,000"	"12,000"	"12,000"
2016-01-26	"12,000"	"12,000"	"12,000"	"12,000"	"12,000"	"12,000"
2016-01-27	"12,000"	"12,000"	"12,000"	"12,000"	"12,000"	"12,000"
2016-01-28	"12,000"	"12,000"	"12,000"	"12,500"	"12,000"	"12,000"
2016-01-29	"12,000"	"12,000"	"12,000"	"12,000"	"12,500"	"12,000"
2016-01-30	"12,000"	"12,000"	"12,000"	"12,000"	"12,000"	"12,000"
2016-01-31	"12,000"	"12,000"	"12,000"	"12,000"	"12,000"	"12,000"
2016-02-01	"12,000"	"12,000"	"12,000"	"12,000"	"12,000"	"12,000"
2016-02-02	"12,000"	"12,000"	"12,000"	"12,000"	"12,500"	"12,000"
2016-02-03	"12,000"	"12,000"	"12,000"	"12,000"	"12,500"	"12,000"
2016-02-04	"13,000"	"12,000"	"12,000"	"12,000"	"12,500"	"12,000"
2016-02-05	"13,500"	"12,000"	"13,000"	"12,000"	"12,500"	"12,000"
2016-02-06	"13,500"	"12,000"	"13,500"	"12,000"	"12,500"	"12,500"
2016-02-07	"13,000"	"12,000"	"13,500"	"12,000"	"12,500"	"12,500"
2016-02-08	"12,500"	"12,000"	"13,500"	"12,500"	"12,000"	"12,500"
2016-02-09	"12,500"	"12,000"	"12,500"	"12,000"	"12,000"	"12,500"
2016-02-10	"12,000"	"12,000"	"12,500"	"12,000"	"12,000"	"12,000"
2016-02-11	"12,000"	"12,000"	"12,000"	"12,000"	"12,000"	"12,000"
2016-02-12	"12,000"	"12,000"	"12,000"	"12,000"	"12,000"	"12,000"
2016-02-13	"12,000"	"12,000"	"12,500"	"12,000"	"12,000"	"12,000"
2016-02-14	"12,000"	"12,000"	"12,000"	"12,000"	"12,000"	"12,000"
2016-02-15	"12,000"	"12,000"	"12,000"	"12,000"	"12,000"	"12,000"
2016-02-16	"12,000"	"12,000"	"12,500"	"12,000"	"12,000"	"12,000"
2016-02-17	"12,000"	"12,000"	"12,000"	"12,000"	"12,000"	"12,500"
2016-02-18	"12,000"	"12,000"	"12,000"	"12,500"	"12,000"	"13,000"
2016-02-19	"12,000"	"12,000"	"12,000"	"14,000"	"12,000"	"13,500"
2016-02-20	"12,000"	"12,000"	"12,000"	"13,500"	"12,000"	"14,000"
2016-02-21	"13,000"	"12,000"	"12,000"	"12,500"	"12,000"	"14,000"
2016-02-22	"13,000"	"12,000"	"12,000"	"12,500"	"12,000"	"14,000"
2016-02-23	"13,000"	"12,000"	"12,000"	"12,500"	"12,000"	"14,000"
2016-02-24	"12,500"	"12,000"	"12,000"	"12,500"	"12,000"	"14,000"
2016-02-25	"12,500"	"12,000"	"12,000"	"12,500"	"12,000"	"14,500"
2016-02-26	"12,000"	"12,000"	"12,000"	"12,500"	"12,000"	"14,500"
2016-02-27	"12,000"	"12,000"	"12,000"	"12,000"	"12,000"	"14,500"
2016-02-28	"9,000"	"12,000"	"9,000"	"9,500"	"9,000"	"14,500"
2016-03-01	"9,000"	"9,000"	"9,000"	"10,000"	"9,000"	"11,500"
2016-03-02	"9,000"	"9,000"	"9,000"	"11,000"	"9,000"	"11,500"
2016-03-03	"9,000"	"9,000"	"9,000"	"9,000"	"9,000"	"11,500"
2016-03-04	"9,000"	"9,000"	"9,000"	"9,000"	"9,000"	"11,000"
2016-03-05	"9,000"	"9,000"	"9,000"	"9,000"	"9,000"	"9,000"
2016-03-06	"9,000"	"9,000"	"9,000"	"11,000"	"9,000"	"9,000"
2016-03-07	"9,000"	"9,000"	"9,000"	"10,500"	"9,000"	"9,000"
2016-03-08	"9,000"	"9,000"	"9,000"	"10,500"	"9,000"	"9,000"
2016-03-09	"9,000"	"9,000"	"9,000"	"10,000"	"9,000"	"10,500"
2016-03-10	"9,000"	"9,000"	"9,000"	"10,500"	"9,000"	"13,500"
2016-03-11	"9,000"	"9,500"	"9,000"	"10,500"	"9,000"	"16,500"
2016-03-12	"9,000"	"10,500"	"9,000"	"10,500"	"9,000"	"18,000"
2016-03-13	"9,000"	"11,500"	"9,000"	"10,000"	"9,000"	"18,000"
2016-03-14	"12,000"	"14,500"	"12,000"	"13,000"	"9,000"	"18,000"
2016-03-15	"15,000"	"17,500"	"15,000"	"16,000"	"9,000"	"18,000"
2016-03-16	"18,000"	"20,500"	"18,000"	"19,000"	"9,000"	"18,000"
2016-03-17	"21,000"	"23,500"	"21,000"	"22,000"	"9,000"	"15,000"
2016-03-18	"24,000"	"24,000"	"24,000"	"25,000"	"9,000"	"12,000"
2016-03-19	"27,000"	"23,500"	"27,000"	"28,000"	"9,000"	"9,000"
2016-03-20	"29,000"	"23,500"	"30,000"	"30,000"	"9,000"	"9,000"
2016-03-21	"30,000"	"24,000"	"27,500"	"30,500"	"9,000"	"9,000"
2016-03-22	"31,000"	"23,500"	"25,000"	"32,000"	"9,000"	"9,000"
2016-03-23	"31,500"	"23,500"	"25,000"	"35,000"	"9,000"	"9,000"
2016-03-24	"30,000"	"24,500"	"25,500"	"36,500"	"9,000"	"9,000"
2016-03-25	"28,500"	"22,500"	"23,500"	"33,500"	"9,000"	"9,000"
2016-03-26	"27,500"	"21,000"	"23,000"	"32,000"	"9,000"	"9,000"
2016-03-27	"27,000"	"20,500"	"23,000"	"31,500"	"9,000"	"9,000"
2016-03-28	"26,000"	"20,000"	"24,500"	"32,000"	"9,000"	"9,000"
2016-03-29	"25,500"	"18,000"	"24,000"	"31,000"	"9,000"	"9,000"
2016-03-30	"24,500"	"16,000"	"23,000"	"29,500"	"9,000"	"9,000"
2016-03-31	"24,000"	"17,000"	"23,000"	"28,500"	"9,000"	"9,000"
2016-04-01	"24,500"	"20,000"	"25,000"	"28,500"	"9,000"	"9,000"
2016-04-02	"25,000"	"22,500"	"25,500"	"28,500"	"9,000"	"9,000"
2016-04-03	"26,000"	"24,000"	"25,000"	"27,000"	"9,000"	"9,000"
2016-04-04	"26,000"	"27,000"	"23,500"	"26,000"	"9,000"	"9,000"
2016-04-05	"25,500"	"30,000"	"26,500"	"27,000"	"9,000"	"9,000"
2016-04-06	"26,500"	"30,000"	"29,500"	"29,000"	"9,000"	"9,000"
2016-04-07	"27,000"	"32,500"	"32,500"	"29,500"	"9,000"	"9,000"
2016-04-08	"30,000"	"33,500"	"32,500"	"28,000"	"9,000"	"9,000"
2016-04-09	"33,000"	"32,000"	"32,000"	"27,500"	"9,000"	"9,000"
2016-04-10	"36,000"	"29,500"	"29,500"	"28,000"	"9,500"	"9,000"
2016-04-11	"39,000"	"31,000"	"28,500"	"29,000"	"9,500"	"9,000"
2016-04-12	"38,500"	"30,500"	"27,000"	"29,500"	"10,500"	"9,000"
2016-04-13	"35,500"	"29,000"	"27,000"	"30,000"	"11,000"	"9,000"
2016-04-14	"32,500"	"27,500"	"26,500"	"31,000"	"9,500"	"9,000"
2016-04-15	"29,500"	"27,500"	"26,500"	"32,500"	"9,000"	"9,000"
2016-04-16	"27,500"	"26,500"	"27,000"	"33,000"	"9,000"	"9,000"
2016-04-17	"27,500"	"26,500"	"27,000"	"32,000"	"9,000"	"11,000"
2016-04-18	"26,500"	"27,000"	"26,500"	"30,500"	"9,000"	"9,000"
2016-04-19	"25,500"	"27,000"	"25,000"	"31,500"	"9,000"	"9,000"
2016-04-20	"25,500"	"26,000"	"25,000"	"34,000"	"9,000"	"9,000"
2016-04-21	"26,000"	"24,000"	"25,000"	"35,500"	"9,000"	"10,500"
2016-04-22	"26,500"	"24,000"	"25,000"	"35,500"	"10,000"	"11,500"
2016-04-23	"27,000"	"23,500"	"25,000"	"35,000"	"11,500"	"11,000"
2016-04-24	"27,000"	"24,000"	"25,500"	"33,500"	"11,500"	"9,000"
2016-04-25	"27,500"	"24,500"	"25,000"	"32,000"	"9,500"	"10,000"
2016-04-26	"27,500"	"24,500"	"25,000"	"31,500"	"9,000"	"11,000"
2016-04-27	"27,000"	"24,500"	"25,500"	"31,500"	"9,000"	"11,500"
2016-04-28	"26,500"	"25,000"	"25,000"	"32,500"	"9,000"	"11,500"
2016-04-29	"26,500"	"24,000"	"25,500"	"33,500"	"9,000"	"11,000"
2016-04-30	"26,500"	"24,000"	"25,500"	"35,500"	"12,000"	"14,000"
2016-05-01	"26,000"	"24,500"	"25,000"	"37,000"	"15,000"	"17,000"
2016-05-02	"26,500"	"24,500"	"25,000"	"36,500"	"17,500"	"18,000"
2016-05-03	"26,500"	"24,000"	"25,500"	"35,500"	"18,500"	"18,000"
2016-05-04	"26,500"	"23,500"	"27,500"	"35,000"	"18,500"	"18,000"
2016-05-05	"26,000"	"24,500"	"28,000"	"35,000"	"19,000"	"18,000"
2016-05-06	"26,000"	"25,000"	"28,000"	"36,000"	"19,000"	"18,000"
2016-05-07	"26,000"	"25,500"	"28,000"	"36,500"	"19,000"	"18,000"
2016-05-08	"27,500"	"25,000"	"28,000"	"37,000"	"18,500"	"18,000"
2016-05-09	"27,000"	"27,500"	"27,500"	"36,500"	"19,000"	"18,000"
2016-05-10	"26,500"	"24,500"	"27,500"	"36,500"	"19,000"	"18,000"
2016-05-11	"27,000"	"24,000"	"27,500"	"37,500"	"19,500"	"18,000"
2016-05-12	"27,500"	"25,500"	"26,500"	"36,500"	"19,000"	"18,500"
2016-05-13	"28,000"	"26,000"	"25,500"	"33,500"	"18,500"	"18,500"
2016-05-14	"29,000"	"26,000"	"25,600"	"33,500"	"18,000"	"18,000"
2016-05-15	"29,500"	"26,000"	"25,600"	"34,000"	"18,000"	"18,000"
2016-05-16	"30,000"	"26,000"	"25,600"	"35,500"	"18,000"	"18,000"
2016-05-17	"31,000"	"26,000"	"25,600"	"38,500"	"18,000"	"18,000"
2016-05-18	"31,000"	"29,000"	"25,600"	"38,000"	"18,000"	"18,000"
2016-05-19	"31,000"	"30,000"	"25,600"	"36,000"	"18,000"	"18,000"
2016-05-20	"31,000"	"30,500"	"28,100"	"36,000"	"18,000"	"18,500"
2016-05-21	"31,000"	"30,500"	"30,100"	"36,500"	"18,000"	"18,500"
2016-05-22	"31,000"	"30,500"	"33,100"	"37,500"	"18,500"	"20,000"
2016-05-23	"32,000"	"30,500"	"33,600"	"37,500"	"18,500"	"19,000"
2016-05-24	"32,000"	"31,500"	"33,600"	"38,000"	"18,500"	"18,000"
2016-05-25	"32,500"	"31,500"	"33,600"	"38,500"	"19,500"	"15,000"
2016-05-26	"32,500"	"31,500"	"35,100"	"39,500"	"18,000"	"12,000"
2016-05-27	"32,500"	"31,500"	"35,000"	"41,000"	"18,000"	"12,000"
2016-05-28	"32,500"	"31,500"	"35,000"	"41,500"	"18,000"	"15,000"
2016-05-29	"33,000"	"31,500"	"35,000"	"42,000"	"18,000"	"18,000"
2016-05-30	"33,000"	"31,500"	"35,000"	"42,000"	"18,500"	"20,000"
2016-05-31	"33,000"	"31,500"	"35,000"	"39,000"	"18,500"	"20,500"
2016-06-01	"33,000"	"31,500"	"36,000"	"36,500"	"18,500"	"21,500"
2016-06-02	"33,000"	"31,500"	"37,500"	"35,500"	"18,000"	"21,500"
2016-06-03	"33,000"	"31,500"	"37,500"	"35,000"	"18,500"	"21,000"
2016-06-04	"36,000"	"31,500"	"37,500"	"35,000"	"19,500"	"21,000"
2016-06-05	"35,000"	"31,500"	"37,500"	"35,000"	"17,000"	"21,000"
2016-06-06	"35,864"	"31,500"	"39,500"	"35,000"	"15,500"	"21,000"
2016-06-07	"35,864"	"31,500"	"41,500"	"35,000"	"15,000"	"21,000"
2016-06-08	"35,864"	"31,500"	"44,000"	"35,000"	"18,000"	"20,500"
2016-06-09	"35,864"	"31,500"	"46,000"	"35,000"	"21,000"	"21,000"
2016-06-10	"35,864"	"31,500"	"47,500"	"35,000"	"22,500"	"22,000"
2016-06-11	"35,864"	"31,500"	"46,000"	"35,000"	"22,000"	"20,500"
2016-06-12	"35,864"	"31,500"	"43,000"	"35,000"	"21,500"	"19,000"
2016-06-13	"36,364"	"31,500"	"46,000"	"35,000"	"20,500"	"19,000"
2016-06-14	"35,864"	"31,500"	"49,000"	"35,000"	"20,000"	"22,000"
2016-06-15	"35,864"	"31,500"	"48,500"	"35,000"	"19,500"	"25,000"
2016-06-16	"35,864"	"31,500"	"46,500"	"35,000"	"19,000"	"22,000"
2016-06-17	"35,864"	"31,500"	"45,500"	"35,000"	"19,000"	"22,500"
2016-06-18	"37,864"	"31,500"	"45,000"	"35,000"	"19,000"	"22,000"
2016-06-19	"40,864"	"31,500"	"45,000"	"35,000"	"19,000"	"21,500"
2016-06-20	"37,864"	"31,500"	"44,500"	"36,000"	"18,000"	"21,000"
2016-06-21	"35,864"	"31,500"	"43,500"	"38,000"	"16,500"	"22,000"
2016-06-22	"35,864"	"31,500"	"42,500"	"39,000"	"16,000"	"23,000"
2016-06-23	"35,864"	"31,500"	"42,500"	"41,000"	"17,500"	"22,000"
2016-06-24	"35,864"	"31,500"	"44,500"	"43,500"	"19,000"	"19,500"
2016-06-25	"35,864"	"31,500"	"45,500"	"46,500"	"18,000"	"19,500"
2016-06-26	"35,864"	"31,500"	"44,500"	"46,500"	"17,500"	"20,000"
2016-06-27	"35,864"	"31,500"	"42,500"	"43,500"	"16,000"	"20,500"
2016-06-28	"35,864"	"31,500"	"42,000"	"40,500"	"19,000"	"21,500"
2016-06-29	"36,364"	"31,500"	"40,500"	"37,500"	"21,500"	"22,000"
2016-06-30	"35,000"	"31,500"	"37,500"	"35,000"	"23,500"	"22,000"
2016-07-01	"35,000"	"31,500"	"35,000"	"36,000"	"24,500"	"23,000"
2016-07-02	"35,000"	"31,500"	"35,000"	"36,000"	"24,500"	"22,500"
2016-07-03	"35,000"	"31,500"	"35,000"	"35,000"	"24,500"	"21,000"
2016-07-04	"35,000"	"31,500"	"35,000"	"35,000"	"24,500"	"21,000"
2016-07-05	"35,000"	"31,500"	"35,000"	"35,000"	"23,500"	"20,500"
2016-07-06	"35,000"	"33,500"	"35,000"	"35,000"	"22,500"	"20,500"
2016-07-07	"35,000"	"35,500"	"35,000"	"35,000"	"23,000"	"20,500"
2016-07-08	"35,000"	"36,000"	"35,000"	"35,000"	"21,500"	"21,000"
2016-07-09	"35,000"	"36,000"	"35,000"	"35,000"	"20,000"	"20,500"
2016-07-10	"35,000"	"35,500"	"35,000"	"35,000"	"20,000"	"20,500"
2016-07-11	"35,000"	"36,000"	"35,000"	"35,000"	"20,000"	"20,500"
2016-07-12	"35,000"	"36,500"	"35,000"	"35,000"	"19,500"	"21,000"
2016-07-13	"35,000"	"36,500"	"35,000"	"35,000"	"21,000"	"21,000"
2016-07-14	"35,000"	"35,000"	"35,000"	"35,000"	"22,500"	"20,500"
2016-07-15	"32,000"	"32,000"	"32,000"	"32,000"	"24,500"	"20,500"
2016-07-16	"31,000"	"29,500"	"31,000"	"31,000"	"21,500"	"20,500"
2016-07-17	"31,000"	"27,500"	"31,000"	"32,000"	"19,000"	"20,500"
2016-07-18	"30,000"	"27,000"	"32,000"	"33,000"	"19,500"	"20,500"
2016-07-19	"30,000"	"26,500"	"34,000"	"33,500"	"22,500"	"20,000"
2016-07-20	"30,000"	"27,000"	"34,500"	"33,500"	"24,500"	"20,500"
2016-07-21	"31,000"	"26,500"	"34,000"	"34,500"	"23,000"	"20,500"
2016-07-22	"31,500"	"28,000"	"33,500"	"35,000"	"21,500"	"20,500"
2016-07-23	"31,500"	"29,500"	"33,500"	"36,000"	"20,000"	"21,000"
2016-07-24	"31,000"	"31,000"	"32,000"	"36,000"	"20,000"	"20,500"
2016-07-25	"31,500"	"32,500"	"31,000"	"36,000"	"20,000"	"20,500"
2016-07-26	"32,000"	"31,500"	"31,000"	"36,000"	"20,000"	"20,500"
2016-07-27	"31,500"	"32,000"	"32,500"	"36,000"	"19,500"	"20,500"
2016-07-28	"31,000"	"33,500"	"32,500"	"36,000"	"19,500"	"21,000"
2016-07-29	"31,000"	"34,500"	"31,500"	"36,000"	"19,500"	"21,500"
2016-07-30	"31,500"	"34,000"	"30,000"	"36,500"	"20,000"	"22,000"
2016-07-31	"32,000"	"31,500"	"29,000"	"36,500"	"19,500"	"22,000"
2016-08-01	"33,000"	"29,500"	"30,500"	"38,000"	"18,500"	"23,000"
2016-08-02	"32,500"	"29,000"	"31,000"	"38,500"	"18,500"	"23,500"
2016-08-03	"30,500"	"29,000"	"31,500"	"38,000"	"18,500"	"23,500"
2016-08-04	"30,500"	"28,500"	"32,000"	"38,000"	"19,000"	"24,000"
2016-08-05	"30,500"	"28,000"	"31,000"	"38,000"	"19,500"	"24,000"
2016-08-06	"31,000"	"26,500"	"32,000"	"38,000"	"20,000"	"23,500"
2016-08-07	"30,500"	"26,000"	"32,500"	"38,000"	"20,000"	"22,500"
2016-08-08	"30,500"	"26,000"	"32,500"	"39,000"	"20,000"	"22,000"
2016-08-09	"31,000"	"25,500"	"30,000"	"39,000"	"20,000"	"22,000"
2016-08-10	"31,000"	"26,000"	"29,500"	"39,000"	"20,000"	"22,000"
2016-08-11	"30,500"	"26,000"	"29,500"	"39,000"	"20,500"	"22,000"
2016-08-12	"31,000"	"29,000"	"29,500"	"39,500"	"20,500"	"22,000"
2016-08-13	"31,500"	"26,500"	"28,500"	"39,500"	"20,500"	"22,000"
2016-08-14	"34,500"	"26,000"	"28,500"	"40,000"	"20,500"	"22,500"
2016-08-15	"34,500"	"26,000"	"29,500"	"39,500"	"20,500"	"22,500"
2016-08-16	"35,000"	"26,000"	"30,000"	"39,000"	"20,500"	"22,500"
2016-08-17	"35,500"	"27,500"	"30,500"	"39,000"	"20,000"	"22,500"
2016-08-18	"35,500"	"28,500"	"31,500"	"40,000"	"20,000"	"23,000"
2016-08-19	"34,500"	"30,500"	"32,000"	"41,500"	"19,500"	"23,000"
2016-08-20	"34,500"	"33,500"	"31,000"	"41,000"	"19,000"	"23,000"
