Date,1931,1932,1933
2016-01-01,6038.723371,5181.339959,5137.15208
2016-01-02,6038.723371,5181.339959,5137.15208
2016-01-03,6038.723371,5181.339959,5137.15208
2016-01-04,6038.723371,5181.339959,5137.15208
2016-01-05,6038.723371,5181.339959,5137.15208
2016-01-06,6038.723371,5181.339959,5137.15208
2016-01-07,6038.723371,5181.339959,5137.15208
2016-01-08,6038.723371,5181.339959,5137.15208
2016-01-09,6038.723371,5181.339959,5137.15208
2016-01-10,6038.723371,5181.339959,5137.15208
2016-01-11,6038.723371,5181.339959,5137.15208
2016-01-12,6038.723371,5181.339959,5137.15208
2016-01-13,6038.723371,5181.339959,5137.15208
2016-01-14,6026.621727,5177.256613,5400
2016-01-15,6026.621727,5177.256613,5400
2016-01-16,6026.621727,5177.256613,5400
2016-01-17,6026.621727,5177.256613,5400
2016-01-18,6026.621727,5177.256613,5400
2016-01-19,6026.621727,5177.256613,5400
2016-01-20,6026.621727,5177.256613,5400
2016-01-21,6026.621727,5177.256613,5400
2016-01-22,6026.621727,5177.256613,5400
2016-01-23,6026.621727,5177.256613,5400
2016-01-24,6026.621727,5177.256613,5400
2016-01-25,6026.621727,5177.256613,5400
2016-01-26,6026.621727,5177.256613,5400
2016-01-27,6026.621727,5177.256613,5400
2016-01-28,6026.621727,5177.256613,5400
2016-01-29,6026.621727,5177.256613,5400
2016-01-30,6026.621727,5177.256613,5400
2016-01-31,6009.424762,5173.721812,8200
2016-02-01,6009.424762,5173.721812,8200
2016-02-02,6009.424762,5173.721812,8200
2016-02-03,6009.424762,5173.721812,8200
2016-02-04,6009.424762,5173.721812,8200
2016-02-05,6009.424762,5173.721812,8200
2016-02-06,6009.424762,5173.721812,8200
2016-02-07,6009.424762,5173.721812,8200
2016-02-08,6009.424762,5173.721812,8200
2016-02-09,6009.424762,5173.721812,8200
2016-02-10,6009.424762,5173.721812,8200
2016-02-11,6009.424762,5173.721812,8200
2016-02-12,6009.424762,5173.721812,8200
2016-02-13,6009.424762,5173.721812,8200
2016-02-14,6007.76151,6200,11300
2016-02-15,6007.76151,6200,11300
2016-02-16,6007.76151,6200,11300
2016-02-17,6007.76151,6200,11300
2016-02-18,6007.76151,6200,11300
2016-02-19,6007.76151,6200,11300
2016-02-20,6007.76151,6200,11300
2016-02-21,6007.76151,6200,11300
2016-02-22,6007.76151,6200,11300
2016-02-23,6007.76151,6200,11300
2016-02-24,6007.76151,6200,11300
2016-02-25,6007.76151,6200,11300
2016-02-26,6007.76151,6200,11300
2016-02-27,6007.76151,6200,11300
2016-02-28,5842.723531,6200,8300
2016-03-01,5842.723531,4500,5300
2016-03-02,5842.723531,4500,5000
2016-03-03,5842.723531,4500,5000
2016-03-04,5842.723531,4500,5000
2016-03-05,5842.723531,4500,5000
2016-03-06,5842.723531,4500,5000
2016-03-07,5842.723531,4500,5000
2016-03-08,5842.723531,4500,5000
2016-03-09,5842.723531,4500,5000
2016-03-10,5842.723531,4500,5000
2016-03-11,5842.723531,4500,5000
2016-03-12,5842.723531,4500,5000
2016-03-13,5842.723531,4500,5000
2016-03-14,5845.652074,4500,4900
2016-03-15,5845.652074,4500,4900
2016-03-16,5845.652074,4500,4900
2016-03-17,5845.652074,4500,4900
2016-03-18,5845.652074,4500,4900
2016-03-19,5845.652074,4500,4900
2016-03-20,5845.652074,4500,4900
2016-03-21,5845.652074,4500,4900
2016-03-22,5845.652074,4500,4900
2016-03-23,5845.652074,4500,4900
2016-03-24,5845.652074,4500,4900
2016-03-25,5845.652074,4500,4900
2016-03-26,5845.652074,4500,4900
2016-03-27,5845.652074,4500,4900
2016-03-28,5845.652074,4500,4900
2016-03-29,5845.652074,4500,4900
2016-03-30,5845.652074,4500,4900
2016-03-31,6000,6353.039789,5400
2016-04-01,6000,6353.039789,5400
2016-04-02,6000,6353.039789,5400
2016-04-03,6000,6353.039789,5400
2016-04-04,6000,6353.039789,5400
2016-04-05,6000,6353.039789,5400
2016-04-06,6000,6353.039789,5400
2016-04-07,6000,6353.039789,5400
2016-04-08,6000,6353.039789,5400
2016-04-09,6000,6353.039789,5400
2016-04-10,6000,6353.039789,5400
2016-04-11,6000,6353.039789,5400
2016-04-12,6000,6353.039789,5400
